diameter,velocity,miss_distance,magnitude,hazardous
332.30939277925,83073.9012659539,61668127.54939708,20.56,0
74.7381970393,25610.3892026348,30035053.053869527,23.8,0
51.7061994224,38907.1353534253,41701346.23079657,24.6,0
234.17612584425,21546.9183191089,65599203.380468614,21.32,1
34.1619471798,66601.3528919959,48658458.75424132,25.5,0
37.4578302204,97525.5111753088,38224403.65137831,25.3,0
118.99880956999999,58680.8233345483,41760074.42013459,22.79,0
31.156066121450003,44418.6406156284,21617916.347058233,25.7,0
19.65814874445,56532.176322606,61128505.09895361,26.7,0
21.5547314748,22907.2462976516,11795415.646299293,26.5,0
8.5810931595,45231.4576711148,56755753.98829008,28.5,0
51.7061994224,17292.882145043,31704911.317902625,24.6,0
58.55211900745,24393.0922112139,57876330.59652912,24.33,0
8.5810931595,82867.4798995667,67416998.0805575,28.5,0
496.06960379149996,70381.8377296819,37601766.051718704,19.69,1
34.1619471798,29734.0012047571,12290017.066559874,25.5,0
516.8239331959,70423.7370138518,37691801.85889351,19.601,1
85.8109315948,52512.681127959,63366552.14005795,23.5,0
47.156614335149996,62569.0609570951,66145925.087591656,24.8,0
189.47094310605002,31206.5930892991,18216973.89873714,21.78,0
14.912230804099998,24023.2427574588,30450416.177458495,27.3,0
263.96273334865,65034.576939713,42943899.691348374,21.06,0
1075.33211641515,130940.1471982291,71591694.77595359,18.01,0
196.58148744435,59360.9044131122,48923072.46326618,21.7,1
593.6666012068,51486.1205887278,26927575.41570639,19.3,0
151.1968059903,10116.7821262042,40926111.65295877,22.27,0
152.5958128113,10116.7811187908,40926110.08218114,22.25,0
119.54808311835,32165.5807031943,53777826.579648666,22.78,0
333.8432632439,71220.1156047468,68092261.89211611,20.55,0
